"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2023","16,170.50","16,111.85","16,199.30","15,985.25","","1.16%"
"09/01/2023","15,985.25","15,951.15","16,004.10","15,933.10","","0.60%"
"08/31/2023","15,890.20","15,854.15","15,920.05","15,817.25","","0.71%"
"08/30/2023","15,778.50","15,731.15","15,817.60","15,716.70","","0.90%"
"08/29/2023","15,637.65","15,586.15","15,649.40","15,583.10","","0.98%"
"08/28/2023","15,486.00","15,443.35","15,508.50","15,404.85","","0.85%"
"08/25/2023","15,354.75","15,392.25","15,480.05","15,223.15","","-0.20%"
"08/24/2023","15,384.80","15,446.15","15,492.90","15,365.00","","0.36%"
"08/23/2023","15,330.00","15,259.25","15,386.40","15,258.70","","0.98%"
"08/22/2023","15,181.55","15,072.60","15,202.15","15,072.40","","1.18%"
"08/21/2023","15,004.30","14,934.40","15,021.10","14,926.65","","0.84%"
"08/18/2023","14,879.40","14,961.50","15,015.75","14,843.50","","-0.29%"
"08/17/2023","14,922.65","14,939.80","15,019.10","14,901.05","","0.24%"
"08/16/2023","14,886.30","14,767.75","14,909.25","14,747.20","","0.68%"
"08/14/2023","14,785.30","14,868.50","14,868.50","14,541.05","","-0.43%"
"08/11/2023","14,848.65","14,911.40","14,950.95","14,831.10","","0.01%"
"08/10/2023","14,847.65","14,869.05","14,976.00","14,809.20","","0.10%"
"08/09/2023","14,833.30","14,721.35","14,848.55","14,705.00","","1.13%"
"08/08/2023","14,667.15","14,698.75","14,760.40","14,589.70","","0.22%"
"08/07/2023","14,634.45","14,654.55","14,709.25","14,619.75","","0.48%"
"08/04/2023","14,564.90","14,559.35","14,637.70","14,538.70","","0.66%"
"08/03/2023","14,470.05","14,353.95","14,490.10","14,328.05","","0.87%"
"08/02/2023","14,345.15","14,571.90","14,621.05","14,179.20","","-1.48%"
"08/01/2023","14,559.95","14,513.95","14,602.80","14,511.75","","0.80%"
"07/31/2023","14,443.85","14,284.10","14,459.75","14,280.40","","1.68%"
"07/28/2023","14,205.10","14,244.40","14,275.60","14,161.45","","-0.06%"
"07/27/2023","14,213.50","14,241.50","14,284.70","14,167.75","","0.36%"
"07/26/2023","14,162.95","14,158.95","14,230.05","14,144.40","","0.38%"
"07/25/2023","14,109.85","14,108.35","14,203.25","14,085.60","","0.46%"
"07/24/2023","14,044.95","14,064.15","14,135.75","14,028.65","","0.35%"
"07/21/2023","13,995.45","13,947.60","14,021.35","13,923.25","","0.20%"
"07/20/2023","13,966.85","13,970.00","14,030.95","13,949.05","","0.18%"
"07/19/2023","13,941.60","13,880.25","13,953.60","13,878.70","","0.84%"
"07/18/2023","13,825.75","13,907.95","13,932.45","13,734.00","","-0.15%"
"07/17/2023","13,846.05","13,784.70","13,874.55","13,781.90","","1.00%"
"07/14/2023","13,708.80","13,621.40","13,725.00","13,591.00","","1.16%"
"07/13/2023","13,551.30","13,762.05","13,806.75","13,517.60","","-1.04%"
"07/12/2023","13,693.45","13,646.75","13,725.50","13,645.70","","0.81%"
"07/11/2023","13,584.00","13,503.30","13,633.75","13,501.45","","0.97%"
"07/10/2023","13,453.05","13,509.10","13,522.70","13,395.70","","-0.06%"
"07/07/2023","13,461.00","13,481.70","13,564.20","13,391.95","","-0.12%"
"07/06/2023","13,477.60","13,417.45","13,505.20","13,408.10","","0.74%"
"07/05/2023","13,378.80","13,248.40","13,429.30","13,246.75","","1.22%"
"07/04/2023","13,217.60","13,299.60","13,327.45","13,164.65","","-0.23%"
"07/03/2023","13,248.70","13,225.00","13,278.45","13,197.95","","0.78%"
"06/30/2023","13,145.60","13,112.65","13,171.50","13,111.80","","0.68%"
"06/28/2023","13,056.60","13,103.75","13,148.70","13,052.80","","0.03%"
"06/27/2023","13,052.20","13,001.75","13,072.70","12,999.85","","0.83%"
"06/26/2023","12,945.35","12,879.90","12,959.40","12,853.95","","0.71%"
"06/23/2023","12,853.60","13,029.70","13,031.85","12,783.45","","-1.15%"
"06/22/2023","13,003.70","13,102.80","13,130.35","12,928.25","","-0.43%"
