"Date","Price","Open","High","Low","Vol.","Change %"
"22-03-2024","17,502.80","17,386.00","17,518.05","17,343.90","","0.61%"
"21-03-2024","17,396.30","17,186.65","17,407.55","17,184.95","","2.26%"
"20-03-2024","17,011.75","17,085.05","17,125.45","16,832.70","","-0.06%"
"19-03-2024","17,022.65","17,227.45","17,231.10","16,954.95","","-1.12%"
"18-03-2024","17,215.85","17,250.20","17,306.30","17,068.00","","-0.22%"
"15-03-2024","17,254.20","17,315.90","17,399.90","17,031.95","","-0.32%"
"14-03-2024","17,308.75","16,854.90","17,341.50","16,717.95","","2.13%"
"13-03-2024","16,948.25","17,720.55","17,757.20","16,838.20","","-4.17%"
"12-03-2024","17,685.60","17,937.30","17,957.00","17,600.40","","-1.26%"
"11-03-2024","17,911.75","18,079.10","18,081.05","17,884.50","","-0.47%"
"07-03-2024","17,995.70","17,978.35","18,061.95","17,956.85","","0.25%"
"06-03-2024","17,950.00","18,094.60","18,102.30","17,700.20","","-0.64%"
"05-03-2024","18,065.20","18,121.60","18,156.00","18,023.55","","-0.25%"
"04-03-2024","18,110.05","18,138.80","18,145.80","18,027.80","","0.09%"
"02-03-2024","18,093.00","18,066.55","18,121.00","18,035.95","","0.66%"
"01-03-2024","17,974.65","17,925.05","17,985.75","17,890.75","","0.81%"
"29-02-2024","17,831.10","17,749.00","17,882.80","17,559.90","","0.46%"
"28-02-2024","17,749.00","18,117.25","18,126.15","17,708.30","","-1.80%"
"27-02-2024","18,074.30","18,114.30","18,183.55","18,014.15","","-0.10%"
"26-02-2024","18,093.00","18,168.45","18,196.20","18,012.50","","-0.31%"
"23-02-2024","18,149.05","18,165.90","18,222.40","18,104.55","","0.37%"
"22-02-2024","18,082.90","18,019.40","18,103.50","17,782.10","","0.80%"
"21-02-2024","17,939.45","18,201.75","18,216.45","17,896.70","","-1.09%"
"20-02-2024","18,137.40","18,184.95","18,229.30","18,085.00","","-0.16%"
"19-02-2024","18,166.65","18,193.75","18,234.10","18,136.65","","0.47%"
"16-02-2024","18,081.70","18,027.25","18,111.00","17,988.10","","0.78%"
"15-02-2024","17,941.80","17,887.35","17,966.40","17,868.95","","0.94%"
"14-02-2024","17,773.85","17,442.60","17,828.75","17,371.25","","0.86%"
"13-02-2024","17,622.65","17,598.15","17,645.90","17,293.60","","0.29%"
"12-02-2024","17,572.25","18,090.40","18,091.80","17,520.60","","-2.39%"
"09-02-2024","18,003.10","18,200.45","18,201.35","17,715.35","","-0.87%"
"08-02-2024","18,161.85","18,341.50","18,345.10","18,133.60","","-0.23%"
"07-02-2024","18,203.35","18,208.35","18,252.70","18,076.35","","0.67%"
"06-02-2024","18,082.00","17,955.65","18,092.95","17,853.50","","1.18%"
"05-02-2024","17,871.55","17,940.15","18,032.65","17,829.15","","-0.01%"
"02-02-2024","17,873.35","17,863.05","17,976.70","17,844.10","","0.51%"
"01-02-2024","17,782.80","17,937.10","17,937.15","17,668.00","","-0.57%"
"31-01-2024","17,884.70","17,636.90","17,893.95","17,627.60","","1.58%"
"30-01-2024","17,607.15","17,756.65","17,782.05","17,582.95","","-0.35%"
"29-01-2024","17,669.70","17,490.35","17,678.90","17,459.20","","1.47%"
"25-01-2024","17,413.75","17,546.70","17,559.25","17,334.50","","-0.47%"
"24-01-2024","17,495.55","17,240.95","17,518.35","17,033.40","","1.69%"
"23-01-2024","17,204.35","17,857.90","17,868.00","17,110.05","","-2.98%"
"20-01-2024","17,732.10","17,794.90","17,835.30","17,689.65","","0.35%"
"19-01-2024","17,670.85","17,546.90","17,687.20","17,508.50","","1.50%"
"18-01-2024","17,409.45","17,386.50","17,431.50","16,978.05","","-0.02%"
"17-01-2024","17,413.15","17,455.70","17,564.35","17,331.50","","-1.06%"
"16-01-2024","17,599.80","17,706.95","17,738.25","17,453.50","","-0.32%"
"15-01-2024","17,656.35","17,659.55","17,685.80","17,537.25","","0.53%"
"12-01-2024","17,563.85","17,583.30","17,589.55","17,511.95","","0.36%"
"11-01-2024","17,500.50","17,492.35","17,536.40","17,449.20","","0.43%"
"10-01-2024","17,425.35","17,411.85","17,433.50","17,251.65","","0.25%"
"09-01-2024","17,382.00","17,472.85","17,517.95","17,356.25","","0.18%"
"08-01-2024","17,350.55","17,550.85","17,560.25","17,334.45","","-0.85%"
"05-01-2024","17,499.65","17,525.15","17,575.65","17,376.55","","0.32%"
"04-01-2024","17,443.75","17,264.70","17,454.90","17,259.40","","1.48%"
"03-01-2024","17,189.95","17,176.85","17,232.30","17,082.60","","0.24%"
"02-01-2024","17,148.10","17,214.95","17,238.00","16,961.25","","-0.15%"
"01-01-2024","17,174.00","17,135.00","17,229.00","17,104.85","","0.57%"
"29-12-2023","17,077.05","16,972.90","17,102.40","16,907.60","","0.85%"
"28-12-2023","16,933.75","16,909.40","16,944.55","16,848.40","","0.48%"
"27-12-2023","16,852.45","16,873.50","16,932.40","16,775.90","","0.39%"
"26-12-2023","16,787.00","16,761.80","16,826.70","16,712.05","","0.56%"
"22-12-2023","16,693.00","16,661.35","16,737.60","16,575.50","","0.80%"
"21-12-2023","16,560.65","16,181.60","16,579.60","16,066.85","","1.45%"
"20-12-2023","16,323.90","16,922.40","16,982.85","16,265.20","","-3.05%"
"19-12-2023","16,836.75","16,946.50","16,957.60","16,769.85","","-0.39%"
"18-12-2023","16,902.45","16,874.50","16,938.55","16,771.30","","0.31%"
"15-12-2023","16,850.05","16,907.00","16,916.50","16,826.90","","0.22%"
"14-12-2023","16,813.75","16,749.80","16,832.25","16,724.10","","1.11%"
"13-12-2023","16,629.55","16,543.85","16,647.90","16,457.95","","0.84%"
"12-12-2023","16,490.50","16,621.45","16,631.20","16,410.20","","-0.42%"
"11-12-2023","16,560.50","16,502.20","16,571.65","16,472.05","","0.68%"
"08-12-2023","16,447.95","16,534.25","16,560.65","16,322.20","","-0.19%"
"07-12-2023","16,479.85","16,417.15","16,489.45","16,322.85","","0.55%"
"06-12-2023","16,389.05","16,431.20","16,460.00","16,308.25","","0.15%"
"05-12-2023","16,364.10","16,364.40","16,392.75","16,214.40","","0.38%"
"04-12-2023","16,302.45","16,362.00","16,370.80","16,223.20","","1.23%"
