Company Name,Ticker,NSE Symbol,Market Cap
IDFC First Bank Ltd.,IDFCFIRSTB.NS,NSE:IDFCFIRSTB,Mid Cap
IRB Infrastructure Developers Ltd.,IRB.NS,NSE:IRB,Mid Cap
Indian Bank,INDIANB.NS,NSE:INDIANB,Mid Cap
Indian Hotels Co. Ltd.,INDHOTEL.NS,NSE:INDHOTEL,Mid Cap
Indian Overseas Bank,IOB.NS,NSE:IOB,Mid Cap
Indian Renewable Energy Development Agency Ltd.,IREDA.NS,NSE:IREDA,Mid Cap
Indraprastha Gas Ltd.,IGL.NS,NSE:IGL,Mid Cap
Indus Towers Ltd.,INDUSTOWER.NS,NSE:INDUSTOWER,Mid Cap
Ipca Laboratories Ltd.,IPCALAB.NS,NSE:IPCALAB,Mid Cap
J.K. Cement Ltd.,JKCEMENT.NS,NSE:JKCEMENT,Mid Cap
JSW Infrastructure Ltd.,JSWINFRA.NS,NSE:JSWINFRA,Mid Cap
Jindal Stainless Ltd.,JSL.NS,NSE:JSL,Mid Cap
Jubilant Foodworks Ltd.,JUBLFOOD.NS,NSE:JUBLFOOD,Mid Cap
K.P.R. Mill Ltd.,KPRMILL.NS,NSE:KPRMILL,Mid Cap
KEI Industries Ltd.,KEI.NS,NSE:KEI,Mid Cap
KPIT Technologies Ltd.,KPITTECH.NS,NSE:KPITTECH,Mid Cap
Kalyan Jewellers India Ltd.,KALYANKJIL.NS,NSE:KALYANKJIL,Mid Cap
L&T Finance Ltd.,LTF.NS,NSE:LTF,Mid Cap
L&T Technology Services Ltd.,LTTS.NS,NSE:LTTS,Mid Cap
LIC Housing Finance Ltd.,LICHSGFIN.NS,NSE:LICHSGFIN,Mid Cap
Linde India Ltd.,LINDEINDIA.NS,NSE:LINDEINDIA,Mid Cap
Lloyds Metals And Energy Ltd.,LLOYDSME.NS,NSE:LLOYDSME,Mid Cap
Lupin Ltd.,LUPIN.NS,NSE:LUPIN,Mid Cap
MRF Ltd.,MRF.NS,NSE:MRF,Mid Cap
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,NSE:M&MFIN,Mid Cap
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS,NSE:MRPL,Mid Cap
Mankind Pharma Ltd.,MANKIND.NS,NSE:MANKIND,Mid Cap
Marico Ltd.,MARICO.NS,NSE:MARICO,Mid Cap
Max Financial Services Ltd.,MFSL.NS,NSE:MFSL,Mid Cap
Max Healthcare Institute Ltd.,MAXHEALTH.NS,NSE:MAXHEALTH,Mid Cap
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,NSE:MAZDOCK,Mid Cap
Metro Brands Ltd.,METROBRAND.NS,NSE:METROBRAND,Mid Cap
Motherson Sumi Wiring India Ltd.,MSUMI.NS,NSE:MSUMI,Mid Cap
MphasiS Ltd.,MPHASIS.NS,NSE:MPHASIS,Mid Cap
Muthoot Finance Ltd.,MUTHOOTFIN.NS,NSE:MUTHOOTFIN,Mid Cap
NLC India Ltd.,NLCINDIA.NS,NSE:NLCINDIA,Mid Cap
NMDC Ltd.,NMDC.NS,NSE:NMDC,Mid Cap
Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,NSE:NAM-INDIA,Mid Cap
Oberoi Realty Ltd.,OBEROIRLTY.NS,NSE:OBEROIRLTY,Mid Cap
Oil India Ltd.,OIL.NS,NSE:OIL,Mid Cap
One 97 Communications Ltd.,PAYTM.NS,NSE:PAYTM,Mid Cap
Oracle Financial Services Software Ltd.,OFSS.NS,NSE:OFSS,Mid Cap
PB Fintech Ltd.,POLICYBZR.NS,NSE:POLICYBZR,Mid Cap
PI Industries Ltd.,PIIND.NS,NSE:PIIND,Mid Cap
Page Industries Ltd.,PAGEIND.NS,NSE:PAGEIND,Mid Cap
Patanjali Foods Ltd.,PATANJALI.NS,NSE:PATANJALI,Mid Cap
Persistent Systems Ltd.,PERSISTENT.NS,NSE:PERSISTENT,Mid Cap
Petronet LNG Ltd.,PETRONET.NS,NSE:PETRONET,Mid Cap
Phoenix Mills Ltd.,PHOENIXLTD.NS,NSE:PHOENIXLTD,Mid Cap
Polycab India Ltd.,POLYCAB.NS,NSE:POLYCAB,Mid Cap
Poonawalla Fincorp Ltd.,POONAWALLA.NS,NSE:POONAWALLA,Mid Cap
Prestige Estates Projects Ltd.,PRESTIGE.NS,NSE:PRESTIGE,Mid Cap
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS,NSE:PGHH,Mid Cap
Rail Vikas Nigam Ltd.,RVNL.NS,NSE:RVNL,Mid Cap
SBI Cards and Payment Services Ltd.,SBICARD.NS,NSE:SBICARD,Mid Cap
SJVN Ltd.,SJVN.NS,NSE:SJVN,Mid Cap
SKF India Ltd.,SKFINDIA.NS,NSE:SKFINDIA,Mid Cap
SRF Ltd.,SRF.NS,NSE:SRF,Mid Cap
Schaeffler India Ltd.,SCHAEFFLER.NS,NSE:SCHAEFFLER,Mid Cap
Solar Industries India Ltd.,SOLARINDS.NS,NSE:SOLARINDS,Mid Cap
Sona BLW Precision Forgings Ltd.,SONACOMS.NS,NSE:SONACOMS,Mid Cap
Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS,NSE:STARHEALTH,Mid Cap
Steel Authority of India Ltd.,SAIL.NS,NSE:SAIL,Mid Cap
Sun TV Network Ltd.,SUNTV.NS,NSE:SUNTV,Mid Cap
Sundaram Finance Ltd.,SUNDARMFIN.NS,NSE:SUNDARMFIN,Mid Cap
Sundram Fasteners Ltd.,SUNDRMFAST.NS,NSE:SUNDRMFAST,Mid Cap
Supreme Industries Ltd.,SUPREMEIND.NS,NSE:SUPREMEIND,Mid Cap
Suzlon Energy Ltd.,SUZLON.NS,NSE:SUZLON,Mid Cap
Syngene International Ltd.,SYNGENE.NS,NSE:SYNGENE,Mid Cap
Tata Chemicals Ltd.,TATACHEM.NS,NSE:TATACHEM,Mid Cap
Tata Communications Ltd.,TATACOMM.NS,NSE:TATACOMM,Mid Cap
Tata Elxsi Ltd.,TATAELXSI.NS,NSE:TATAELXSI,Mid Cap
Tata Investment Corporation Ltd.,TATAINVEST.NS,NSE:TATAINVEST,Mid Cap
Tata Technologies Ltd.,TATATECH.NS,NSE:TATATECH,Mid Cap
The New India Assurance Company Ltd.,NIACL.NS,NSE:NIACL,Mid Cap
Thermax Ltd.,THERMAX.NS,NSE:THERMAX,Mid Cap
Timken India Ltd.,TIMKEN.NS,NSE:TIMKEN,Mid Cap
Torrent Power Ltd.,TORNTPOWER.NS,NSE:TORNTPOWER,Mid Cap
Tube Investments of India Ltd.,TIINDIA.NS,NSE:TIINDIA,Mid Cap
UNO Minda Ltd.,UNOMINDA.NS,NSE:UNOMINDA,Mid Cap
UPL Ltd.,UPL.NS,NSE:UPL,Mid Cap
United Breweries Ltd.,UBL.NS,NSE:UBL,Mid Cap
Vodafone Idea Ltd.,IDEA.NS,NSE:IDEA,Mid Cap
Voltas Ltd.,VOLTAS.NS,NSE:VOLTAS,Mid Cap
Yes Bank Ltd.,YESBANK.NS,NSE:YESBANK,Mid Cap
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,NSE:ZFCVINDIA,Mid Cap
